timestamp,open,high,low,close
2024-05-24,67516.0,68680.0,66593.0,68423.0
2024-05-25,68266.0,69112.0,68202.0,69034.0
2024-05-26,69008.0,69449.0,68356.0,68356.0
2024-05-27,68355.0,70126.0,68355.0,69286.0
2024-05-28,69084.0,69093.0,67560.0,68171.0
2024-05-29,67998.0,68539.0,66909.0,67527.0
2024-05-30,67567.0,68948.0,66769.0,68051.0
2024-05-31,68092.0,68483.0,66804.0,67266.0
2024-06-01,67209.0,67662.0,67209.0,67542.0
2024-06-02,67593.0,67916.0,67047.0,67445.0
2024-06-03,67367.0,69074.0,67367.0,68736.0
2024-06-04,68523.0,70159.0,68213.0,70159.0
2024-06-05,70179.0,71399.0,70179.0,70860.0
2024-06-06,70800.0,71058.0,69991.0,70451.0
2024-06-07,70398.0,71115.0,68198.0,69062.0
2024-06-08,69089.0,69467.0,68747.0,69081.0
2024-06-09,69117.0,69573.0,68879.0,69473.0
2024-06-10,69393.0,69483.0,68939.0,69259.0
2024-06-11,69101.0,69101.0,65884.0,66854.0
2024-06-12,66966.0,69242.0,66652.0,67905.0
2024-06-13,67856.0,67856.0,66394.0,66461.0
2024-06-14,66440.0,66811.0,64473.0,65994.0
2024-06-15,66030.0,66446.0,65852.0,66066.0
2024-06-16,66032.0,66996.0,65830.0,66452.0
2024-06-17,66507.0,66507.0,65035.0,66316.0
2024-06-18,66125.0,66125.0,63772.0,64817.0
2024-06-19,65085.0,66057.0,64719.0,64876.0
2024-06-20,64724.0,66193.0,64376.0,64748.0
2024-06-21,64580.0,64807.0,63417.0,63995.0
2024-06-22,63847.0,64140.0,63731.0,64007.0
2024-06-23,64031.0,64298.0,63107.0,63192.0
2024-06-24,62950.0,62954.0,59496.0,59827.0
2024-06-25,60065.0,61947.0,60065.0,61699.0
2024-06-26,61634.0,62006.0,60709.0,60797.0
2024-06-27,60716.0,62012.0,60583.0,61545.0
2024-06-28,61580.0,61964.0,59967.0,60108.0
2024-06-29,60196.0,60819.0,60196.0,60592.0
2024-06-30,60593.0,62207.0,60399.0,62207.0
2024-07-01,61947.0,62991.0,61947.0,62704.0
2024-07-02,62595.0,62883.0,61687.0,61819.0
2024-07-03,61790.0,61790.0,59416.0,59767.0
2024-07-04,59753.0,59753.0,56837.0,57935.0
2024-07-05,57085.0,57640.0,53279.0,56392.0
2024-07-06,56220.0,57849.0,55926.0,57734.0
2024-07-07,57716.0,57730.0,56199.0,56199.0
2024-07-08,55628.0,58013.0,54275.0,56656.0
2024-07-09,56486.0,57786.0,56486.0,57663.0
2024-07-10,57753.0,58844.0,57254.0,57485.0
2024-07-11,57461.0,58541.0,57187.0,57187.0
2024-07-12,57253.0,58044.0,56500.0,57623.0
2024-07-13,57745.0,58891.0,57685.0,58891.0
2024-07-14,58994.0,60986.0,58994.0,60860.0
2024-07-15,60516.0,64146.0,60516.0,64146.0
2024-07-16,64788.0,64788.0,62702.0,64439.0
2024-07-17,65065.0,65715.0,63914.0,64014.0
2024-07-18,63847.0,65014.0,63459.0,63911.0
2024-07-19,63675.0,66606.0,63324.0,66530.0
2024-07-20,66562.0,67346.0,65911.0,67078.0
2024-07-21,67083.0,68160.0,66117.0,68128.0
2024-07-22,68074.0,68074.0,66589.0,67344.0
2024-07-23,67450.0,67483.0,65794.0,66135.0
2024-07-24,65982.0,66374.0,65082.0,65150.0
2024-07-25,65258.0,65824.0,63498.0,65675.0
