market,token,amm,controller,policy,amp,liq_discount,gc_id
WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xe0438eb3703bf871e31ce639bd351109c88666ea,0x4e59541306910ad6dc1dac0ac9dfb29bd9f15c67,0x8c5a7f011f733fbb0a6c969c058716d5ce9bc933,100,0.06,bitcoin
WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1681195c176239ac5e72d9aebacf5b2492e0c4ee,0xa920de414ea4ab66b97da1bfe9e6eca7d4219635,0x8c5a7f011f733fbb0a6c969c058716d5ce9bc933,100,0.06,ethereum
wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x37417b2238aa52d0dd2d6252d989e728e8f706e4,0x100daa78fc509db39ef7d04de0c1abd299f4c6ce,0xd8f49c747aed8d394f6f1841546e2b83e09a357d,100,0.06,wrapped-steth
tBTC,0x18084fbA666a33d37592fA2633fD49a74DD93a88,0xf9bd9da2427a50908c4c6d1599d8e62837c2bcb0,0x1c91da0223c763d2e0173243eadaa0a2ea47e704,0x8c5a7f011f733fbb0a6c969c058716d5ce9bc933,100,0.06,tbtc
sfrxETH,0xac3E018457B222d93114458476f3E3416Abbe38F,0xfa96ad0a9e64261db86950e2da362f5572c5c6fd,0xec0820efafc41d8943ee8de495fc9ba8495b15cf,0xd8f49c747aed8d394f6f1841546e2b83e09a357d,100,0.06,staked-frax-ether
