timestamp,open,high,low,close
2024-05-24,4117.17,4144.11,3978.35,4049.03
2024-05-25,4039.77,4086.2,4030.05,4062.69
2024-05-26,4064.97,4195.51,4058.11,4158.0
2024-05-27,4146.08,4304.91,4146.08,4216.11
2024-05-28,4213.69,4220.78,4125.42,4183.84
2024-05-29,4165.73,4189.74,4059.7,4101.85
2024-05-30,4085.87,4130.91,4016.53,4061.96
2024-05-31,4061.74,4152.54,4032.69,4094.21
2024-06-01,4080.01,4138.78,4077.37,4138.78
2024-06-02,4132.64,4151.5,4075.97,4101.63
2024-06-03,4095.34,4162.37,4082.3,4101.06
2024-06-04,4091.25,4141.23,4071.68,4132.61
2024-06-05,4135.99,4209.77,4114.13,4186.23
2024-06-06,4194.28,4202.17,4099.02,4127.69
2024-06-07,4134.16,4163.73,3980.37,4007.54
2024-06-08,3997.94,4024.21,3988.96,3993.07
2024-06-09,3996.84,4028.9,3988.51,4021.52
2024-06-10,4016.66,4016.66,3973.16,3993.25
2024-06-11,3983.56,3983.56,3757.42,3813.27
2024-06-12,3803.78,3961.43,3790.92,3874.99
2024-06-13,3864.78,3864.78,3745.99,3769.95
2024-06-14,3764.03,3825.12,3663.44,3777.89
2024-06-15,3783.93,3881.09,3780.88,3881.09
2024-06-16,3878.9,3965.0,3859.7,3944.52
2024-06-17,3936.92,3941.62,3779.5,3835.45
2024-06-18,3816.97,3816.97,3673.73,3779.6
2024-06-19,3783.17,3888.84,3783.17,3875.84
2024-06-20,3864.25,3933.95,3812.42,3827.1
2024-06-21,3819.9,3849.36,3764.07,3833.75
2024-06-22,3825.96,3825.96,3787.97,3810.55
2024-06-23,3803.54,3824.91,3719.59,3720.47
2024-06-24,3715.53,3720.92,3538.0,3633.89
2024-06-25,3652.06,3716.45,3636.05,3703.47
2024-06-26,3692.1,3728.08,3628.31,3674.98
2024-06-27,3666.67,3778.21,3664.92,3753.41
2024-06-28,3756.21,3780.89,3669.04,3669.04
2024-06-29,3675.77,3697.46,3674.72,3674.72
2024-06-30,3674.79,3750.93,3657.12,3750.93
2024-07-01,3737.91,3822.12,3737.91,3752.23
2024-07-02,3743.95,3765.63,3715.57,3732.39
2024-07-03,3727.91,3727.91,3570.02,3594.79
2024-07-04,3595.15,3601.12,3391.7,3402.85
2024-07-05,3322.84,3385.48,3100.13,3249.85
2024-07-06,3253.21,3354.73,3229.92,3341.83
2024-07-07,3344.06,3344.06,3199.91,3199.91
2024-07-08,3188.69,3348.49,3103.41,3299.58
2024-07-09,3290.8,3371.57,3290.8,3337.9
2024-07-10,3337.18,3421.06,3309.6,3380.27
2024-07-11,3379.17,3464.92,3354.97,3357.97
2024-07-12,3380.42,3426.74,3332.92,3409.12
2024-07-13,3415.61,3479.57,3403.4,3479.57
2024-07-14,3468.91,3547.07,3466.55,3547.07
2024-07-15,3534.71,3787.8,3534.71,3787.8
2024-07-16,3820.93,3820.93,3687.52,3748.44
2024-07-17,3768.97,3824.01,3697.98,3697.98
2024-07-18,3694.69,3791.67,3694.69,3748.36
2024-07-19,3729.66,3844.73,3695.22,3834.04
2024-07-20,3828.88,3855.85,3803.67,3837.8
2024-07-21,3839.92,3866.66,3773.17,3866.66
2024-07-22,3858.98,3860.98,3759.86,3773.39
2024-07-23,3755.68,3849.97,3715.59,3808.91
2024-07-24,3799.51,3799.51,3616.38,3616.38
2024-07-25,3640.14,3640.14,3402.21,3457.51
2024-07-26,3476.23,3581.2,3476.23,3581.2
2024-07-27,3571.65,3628.48,3535.39,3564.68
2024-07-28,3518.22,3572.38,3505.84,3559.31
2024-07-29,3556.74,3696.63,3556.74,3633.75
2024-07-30,3619.8,3660.72,3554.63,3578.04
2024-07-31,3572.2,3630.89,3506.45,3531.25
2024-08-01,3537.58,3537.58,3381.04,3501.53
2024-08-02,3492.19,3492.19,3257.49,3257.49
2024-08-03,3263.66,3284.59,3136.51,3170.25
2024-08-04,3166.4,3185.29,2927.88,2961.31
2024-08-05,2923.18,2923.18,2420.4696324903216,2687.93
2024-08-06,2669.16,2757.95,2663.38,2752.85
2024-08-07,2740.9,2740.9,2730.72,2730.72
