timestamp,open,high,low,close
2024-05-24,3797.47,3815.81,3666.67,3735.07
2024-05-25,3726.25,3770.96,3718.54,3748.08
2024-05-26,3746.32,3868.77,3738.43,3836.4
2024-05-27,3830.05,3967.55,3830.05,3884.88
2024-05-28,3883.24,3895.49,3805.98,3852.01
2024-05-29,3839.71,3864.8,3744.95,3778.85
2024-05-30,3770.95,3808.7,3700.9,3747.14
2024-05-31,3749.28,3826.96,3723.15,3766.48
2024-06-01,3762.26,3816.62,3762.26,3816.62
2024-06-02,3813.27,3827.78,3766.68,3779.54
2024-06-03,3777.16,3834.14,3761.36,3775.14
2024-06-04,3764.74,3814.87,3749.56,3812.88
2024-06-05,3809.99,3877.4,3787.62,3857.22
2024-06-06,3860.81,3870.02,3784.97,3809.74
2024-06-07,3807.54,3828.31,3661.73,3688.69
2024-06-08,3679.92,3703.65,3667.48,3673.64
2024-06-09,3683.25,3722.62,3668.68,3704.47
2024-06-10,3718.52,3718.52,3653.6,3663.25
2024-06-11,3665.61,3674.62,3448.26,3501.92
2024-06-12,3501.3,3638.01,3487.09,3561.76
2024-06-13,3562.17,3562.17,3445.92,3457.97
2024-06-14,3469.21,3523.99,3376.32,3477.3
2024-06-15,3480.47,3567.16,3477.06,3567.16
2024-06-16,3564.09,3629.68,3549.58,3626.84
2024-06-17,3620.16,3620.16,3504.94,3521.16
2024-06-18,3508.84,3508.84,3372.12,3473.55
2024-06-19,3476.83,3572.98,3476.83,3564.43
2024-06-20,3551.61,3618.73,3493.28,3519.72
2024-06-21,3510.38,3536.85,3464.24,3524.69
2024-06-22,3517.06,3517.06,3482.68,3501.47
2024-06-23,3498.78,3516.13,3422.52,3422.6
2024-06-24,3416.21,3425.39,3267.17,3339.95
2024-06-25,3354.23,3412.55,3341.65,3396.95
2024-06-26,3392.86,3419.44,3336.57,3364.33
2024-06-27,3368.41,3466.53,3367.07,3445.3
2024-06-28,3448.15,3461.27,3368.23,3368.23
2024-06-29,3375.84,3397.37,3373.84,3373.84
2024-06-30,3374.33,3443.68,3358.26,3443.68
2024-07-01,3427.71,3505.22,3427.71,3442.42
2024-07-02,3434.13,3453.95,3405.41,3422.7
2024-07-03,3418.06,3418.06,3276.65,3297.56
2024-07-04,3296.57,3296.57,3112.04,3121.58
2024-07-05,3060.68,3103.76,2832.79,2982.18
2024-07-06,2975.37,3072.03,2962.13,3064.55
2024-07-07,3060.02,3060.02,2939.54,2939.54
2024-07-08,2920.21,3068.77,2852.7,3026.15
2024-07-09,3017.19,3087.83,3017.19,3061.77
2024-07-10,3063.22,3136.05,3038.13,3097.77
2024-07-11,3097.43,3177.28,3077.46,3101.93
2024-07-12,3100.23,3139.91,3054.41,3125.54
2024-07-13,3133.41,3185.66,3120.39,3185.66
2024-07-14,3186.39,3252.88,3178.86,3251.82
2024-07-15,3238.38,3478.2,3238.38,3478.2
2024-07-16,3500.22,3500.22,3381.22,3435.89
2024-07-17,3461.81,3504.97,3389.91,3390.84
2024-07-18,3387.46,3475.6,3387.46,3431.85
2024-07-19,3420.36,3515.59,3383.7,3514.15
2024-07-20,3512.36,3534.77,3483.57,3516.97
2024-07-21,3518.41,3542.72,3445.59,3542.72
2024-07-22,3535.22,3539.2,3442.27,3442.27
2024-07-23,3446.53,3526.07,3415.3,3491.07
2024-07-24,3484.45,3484.45,3323.73,3330.1
2024-07-25,3335.38,3335.38,3102.88,3171.36
2024-07-26,3184.27,3277.58,3184.27,3277.58
2024-07-27,3271.8,3315.07,3232.95,3263.75
2024-07-28,3221.94,3276.51,3202.52,3263.27
2024-07-29,3269.95,3390.21,3269.95,3328.48
2024-07-30,3316.41,3355.24,3252.2,3277.71
2024-07-31,3273.24,3336.96,3229.11,3233.98
2024-08-01,3240.68,3240.68,3097.3,3205.93
2024-08-02,3200.21,3200.21,2986.7,2986.7
2024-08-03,2991.06,3006.62,2870.94,2904.96
2024-08-04,2902.63,2916.59,2692.89,2715.56
2024-08-05,2673.88,2673.88,2240.12,2468.87
2024-08-06,2449.22,2533.41,2444.95,2519.9
2024-08-07,2516.61,2516.61,2504.99,2504.99
2024-08-08,,,,
2024-08-09,,,,
2024-08-10,,,,
2024-08-11,,,,
2024-08-12,,,,
2024-08-13,2646.731566913234,2719.905242908235,2646.731566913234,2712.460173684382
2024-08-14,2699.3763057612437,2754.02,2650.0,2670.1722261023087
2024-08-15,2665.72,2668.49,2537.65,2578.88
2024-08-16,2571.02,2621.1,2564.83,2590.4
2024-08-17,2592.6,2624.44,2592.6,2611.140943075699
2024-08-18,2612.93,2677.92,2603.45,2643.64
2024-08-19,2610.42,2643.66,2577.96,2618.38
2024-08-20,2633.47,2679.43,2562.13,2585.46
2024-08-21,2575.73,2655.97,2575.73,2633.3
2024-08-22,2628.244062528763,2641.6911068537265,2601.35,2619.57
2024-08-23,2625.106019076692,2778.73,2625.106019076692,2766.15
2024-08-24,2763.39,2810.45,2746.97,2758.71
2024-08-25,2767.88,2781.2354421261484,2744.5560625577596,2776.4636372492187
2024-08-26,2754.402853930644,2754.402853930644,2678.02,2688.67
2024-08-27,2686.28,2695.57,2461.330881956922,2461.330881956922
2024-08-28,2447.6,2533.521518254093,2437.59,2529.3064050873354
2024-08-29,2529.3402016390573,2584.706047305467,2507.203497142321,2526.500204644634
2024-08-30,2525.105551316016,2527.9199263916007,2460.109972157439,2525.2645882055313
2024-08-31,2524.357175933596,2526.9670721545053,2495.5586172137314,2514.643770077179
2024-09-01,2515.1343840354284,2515.1343840354284,2419.1530060184928,2419.1530060184928
2024-09-02,2430.5367381206615,2551.8522803290134,2430.5367381206615,2545.972945320375
2024-09-03,2537.038655000486,2546.342310557928,2440.351613134919,2446.8832501401325
2024-09-04,2433.5584632599566,2476.035518513484,2332.0016993898153,2464.0284807313874
2024-09-05,2450.771118222385,2457.0432585083686,2365.899723810258,2370.3016492209686
2024-09-06,2370.9061729953332,2400.999686380056,2180.8620191153836,2210.4390442749873
2024-09-07,2229.7609203058896,2300.51,2226.65,2262.91
2024-09-08,2270.54,2306.22,2249.32,2301.11
2024-09-09,2300.48,2366.91,2287.34,2357.7153600936354
2024-09-10,2356.637591974291,2386.416079991899,2330.667411884124,2386.416079991899
2024-09-11,2384.1835111366104,2384.1835111366104,2294.95,2342.1331101964
2024-09-12,2343.8846659199276,2379.38,2327.55,2366.94
2024-09-13,2362.31,2449.57,2342.31,2448.0002308107387
2024-09-14,2446.2,2446.2,2401.55,2417.35
2024-09-15,2417.74,2430.33,2329.92,2329.92
2024-09-16,2312.465616114406,2323.95,2264.27804429224,2286.78
2024-09-17,2296.93,2388.7,2272.87,2344.65
2024-09-18,2335.81,2348.49,2294.77,2348.49
2024-09-19,2385.97,2474.06,2385.6253477354862,2473.62
2024-09-20,2463.84,2560.46,2442.54,2547.023001563127
2024-09-21,2559.32,2575.4242778974904,2538.6834573183464,2575.4242778974904
2024-09-22,2620.0283584952595,2620.0283584952595,2529.04,2580.95
2024-09-23,2570.89,2679.36,2570.89,2655.27
2024-09-24,2644.52,2660.01,2612.36,2660.01
2024-09-25,2655.53,2655.53,2571.79,2571.79
2024-09-26,2586.28,2661.08,2561.91,2630.96
2024-09-27,2628.47,2710.24,2621.78,2704.75
2024-09-28,2699.34,2700.2,2655.0380121241874,2675.239937713848
2024-09-29,2676.05,2676.23,2641.76,2654.18
2024-09-30,2658.6,2658.6,2588.67,2605.930014993339
2024-10-01,2602.2038016455226,2647.3736162168225,2448.014698560174,2454.37
2024-10-02,2458.1316511342975,2491.5478993451097,2366.79,2376.72
2024-10-03,2361.45,2396.93,2319.8353516190873,2351.12
2024-10-04,2348.7062943278293,2436.05,2343.738669582849,2419.4
2024-10-05,2418.2568618414643,2425.52,2392.91,2416.9693615492984
2024-10-06,2409.81,2451.22,2409.81,2436.26
2024-10-07,2438.29,2508.15,2426.84,2426.84
2024-10-08,2426.37,2450.59,2417.07,2438.24
2024-10-09,2438.09,2460.24,2358.98,2369.88
