timestamp,open,high,low,close
2024-05-24,4440.8,4446.39,4263.28,4359.07
2024-05-25,4358.83,4392.02,4344.63,4370.37
2024-05-26,4369.13,4508.33,4365.21,4487.0
2024-05-27,4470.81,4618.28,4470.81,4539.43
2024-05-28,4535.63,4557.15,4427.6,4499.47
2024-05-29,4496.44,4516.2,4379.75,4407.11
2024-05-30,4405.03,4442.56,4342.54,4375.26
2024-05-31,4380.33,4470.21,4358.11,4405.55
2024-06-01,4395.73,4453.17,4383.66,4453.17
2024-06-02,4452.7,4462.12,4395.43,4413.75
2024-06-03,4408.65,4470.39,4396.42,4407.89
2024-06-04,4399.25,4458.37,4385.99,4450.22
2024-06-05,4449.16,4515.69,4423.62,4506.09
2024-06-06,4505.31,4519.26,4431.97,4465.96
2024-06-07,4467.43,4467.43,4283.95,4308.0
2024-06-08,4302.42,4319.4,4293.8,4295.66
2024-06-09,4297.44,4332.08,4289.33,4330.99
2024-06-10,4330.85,4330.85,4270.13,4288.3
2024-06-11,4280.72,4280.72,4045.21,4098.56
2024-06-12,4090.85,4246.45,4073.87,4153.98
2024-06-13,4149.74,4156.45,4046.24,4053.99
2024-06-14,4051.33,4116.95,3954.34,4060.6
2024-06-15,4067.99,4172.02,4067.99,4172.0
2024-06-16,4168.42,4243.27,4150.74,4243.27
2024-06-17,4239.02,4243.18,4097.01,4113.14
2024-06-18,4105.49,4105.49,3950.42,4064.92
2024-06-19,4069.7,4176.22,4069.7,4175.07
2024-06-20,4154.01,4225.03,4099.48,4119.89
2024-06-21,4110.06,4127.47,4061.12,4119.73
2024-06-22,4115.38,4115.38,4075.66,4092.45
2024-06-23,4093.12,4115.08,4006.67,4006.67
2024-06-24,3998.73,4011.71,3821.7,3915.74
2024-06-25,3924.4,3994.39,3907.79,3980.83
2024-06-26,3971.5,4001.3,3907.04,3952.82
2024-06-27,3944.35,4062.2,3937.46,4053.51
2024-06-28,4037.4,4058.65,3940.31,3940.31
2024-06-29,3951.89,3978.03,3950.05,3953.34
2024-06-30,3948.68,4021.96,3933.14,4021.96
2024-07-01,4012.67,4104.31,4012.67,4028.02
2024-07-02,4016.21,4040.99,3989.2,4007.97
2024-07-03,4002.17,4002.17,3833.38,3860.4
2024-07-04,3861.06,3861.74,3640.78,3664.82
2024-07-05,3598.29,3612.17,3326.03,3492.33
2024-07-06,3492.61,3597.54,3478.08,3590.38
2024-07-07,3584.39,3584.39,3442.39,3442.39
2024-07-08,3420.21,3585.92,3339.79,3546.59
2024-07-09,3532.12,3622.04,3532.12,3589.96
2024-07-10,3592.87,3665.74,3564.38,3630.96
2024-07-11,3632.49,3718.9,3599.92,3631.26
2024-07-12,3633.61,3687.63,3586.05,3661.57
2024-07-13,3673.04,3727.07,3659.15,3727.07
2024-07-14,3737.84,3818.61,3723.31,3818.61
2024-07-15,3801.71,4083.0,3801.71,4083.0
2024-07-16,4095.47,4095.47,3969.61,4030.57
2024-07-17,4059.15,4113.45,3973.6,3981.24
2024-07-18,3975.28,4071.92,3975.28,4037.25
2024-07-19,4016.48,4123.67,3979.23,4120.55
2024-07-20,4122.38,4147.45,4086.7,4124.28
2024-07-21,4123.99,4153.02,4058.46,4153.02
2024-07-22,4145.76,4159.71,4035.24,4035.24
2024-07-23,4035.33,4136.69,4000.78,4082.1
2024-07-24,4086.33,4086.33,3909.53,3909.53
2024-07-25,3910.38,3910.38,3644.76,3725.19
